constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,Con_pc,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment
Aldershot,31350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432053138,387,347,438,300,337,266,264,449,
Aldridge-Brownhills,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536546803,313,294,277,250,205,381,394,271,
Altrincham and Sale West,10500.0,0.0,19432.239999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505380286,484,450,425,523,370,315,494,336,
Amber Valley,22446.97,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.438662533,243,226,176,92,174,447,443,378,
Arundel and South Downs,44500.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.5423973,452,500,498,435,466,493,74,168,
Ashfield,0.0,0.0,2720.13,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420580714,125,137,93,44,94,186,416,475,
Ashford,0.0,0.0,586.07,6330.67,0.0,0.0,0.0,0.0,0.0,0.0,0.455048448,297,270,293,209,356,215,129,466,
Ashton-under-Lyne,99929.5,0.0,0.0,0.0,836.0,5228.0,0.0,0.0,0.0,0.0,0.466723311,54,70,61,84,29,21,465,153,
Aylesbury,15000.0,0.0,2221.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457337572,418,409,421,242,438,350,212,504,
Banbury,15000.0,0.0,0.0,2583.19,0.0,0.0,0.0,0.0,0.0,0.0,0.506849046,358,378,395,228,351,385,229,243,
Barking,5001.0,0.0,0.0,7692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437003049,60,57,149,182,201,75,3,108,
Barnsley North,44000.0,0.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0,0.0,0.513110048,97,107,63,31,51,81,527,511,
Barnsley South,2000.0,0.0,0.0,0.0,0.0,3411.3599999999997,0.0,0.0,0.0,0.0,0.497191627,41,60,21,15,16,46,530,505,
Barrow and Furness,63000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543526683,140,192,104,203,37,476,524,59,
Basildon and Billericay,15000.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.465833511,192,162,194,93,283,128,153,490,
Basingstoke,39000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426395339,376,391,392,243,343,247,257,497,
Bassetlaw,25464.0,0.0,184.63,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.549058559,198,216,148,124,132,235,352,444,
Bath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391598559,453,408,433,430,435,339,457,364,
Battersea,21436.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435972782,322,311,435,517,361,202,114,52,
Beaconsfield,26500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482518062,513,508,521,470,523,363,221,470,
Beckenham and Penge,44000.0,0.0,0.0,0.0,0.0,2945.0,0.0,0.0,0.0,0.0,0.463947737,400,368,401,500,491,270,78,224,
Bedford,4250.0,0.0,0.0,0.0,707.0,400.0,0.0,0.0,0.0,0.0,0.465853082,199,181,175,188,208,206,190,254,
Bermondsey and Old Southwark,6250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41181411,177,172,310,448,209,140,32,50,
Bethnal Green and Stepney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183231039,90,45,181,342,165,49,50,42,
Beverley and Holderness,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527529496,367,351,298,350,380,440,255,361,
Bexhill and Battle,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509376157,289,286,222,311,288,422,133,218,
Bexleyheath and Crayford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499234769,323,301,305,258,396,299,140,266,
Bicester and Woodstock,64500.0,0.0,1887.91,1113.0,0.0,1283.11,0.0,0.0,0.0,0.0,0.507745386,479,516,514,358,437,480,146,343,
Birkenhead,5000.0,0.0,0.0,0.0,0.0,1048.0,0.0,0.0,0.0,0.0,0.528982966,20,18,4,107,5,146,529,106,
Birmingham Edgbaston,10000.0,0.0,0.0,0.0,0.0,476.0,0.0,0.0,0.0,0.0,0.387408508,80,104,125,261,135,143,34,41,
Birmingham Erdington,0.0,0.0,913.6,300.0,0.0,600.0,0.0,0.0,0.0,0.0,0.458236459,11,19,11,41,28,100,52,4,
Birmingham Hall Green and Moseley,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189253014,28,21,46,130,110,174,43,5,
Birmingham Hodge Hill and Solihull North,0.0,0.0,4550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321757404,7,7,8,4,57,82,64,35,
Birmingham Ladywood,153968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222750469,4,1,29,19,48,91,14,24,
Birmingham Northfield,13818.66,0.0,2772.3,5704.29,0.0,0.0,0.0,0.0,0.0,0.0,0.4677979,22,23,30,76,52,56,67,86,
Birmingham Perry Barr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255937238,14,9,22,50,111,137,35,8,
Birmingham Selly Oak,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388904836,79,105,141,237,80,147,69,28,
Birmingham Yardley,3000.0,0.0,68986.28,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.29986698,19,27,43,35,77,166,37,2,
Bishop Auckland,32000.0,0.0,2407.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581151662,109,89,53,164,79,180,418,433,
Blackburn,1950.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312964264,21,15,15,34,10,110,507,83,
Blackley and Middleton South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51200065,12,12,9,69,12,1,227,165,
Blackpool North and Fleetwood,15000.0,0.0,0.0,18481.39,0.0,0.0,0.0,0.0,0.0,0.0,0.558927237,132,139,84,171,43,256,523,209,
Blackpool South,37500.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.496102496,2,3,1,18,1,8,516,13,
Blaydon and Consett,5667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.554974051,239,178,140,272,118,287,452,522,
Blyth and Ashington,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488260321,62,67,20,64,78,37,385,532,
Bognor Regis and Littlehampton,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511143284,241,262,215,145,171,291,154,401,
Bolsover,34046.0,0.0,0.0,3323.81,0.0,0.0,0.0,0.0,0.0,0.0,0.483621697,169,165,112,55,99,445,467,404,
Bolton North East,21000.0,0.0,0.0,2463.56,0.0,0.0,0.0,0.0,0.0,0.0,0.487034534,68,66,49,126,86,50,480,155,
Bolton South and Walkden,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408455835,17,11,12,42,30,7,429,167,
Bolton West,17000.0,0.0,5695.38,0.0,0.0,394.0,0.0,0.0,0.0,0.0,0.551205861,253,247,207,373,175,124,475,231,
Boston and Skegness,0.0,0.0,0.0,11685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.574171615,101,134,100,13,146,362,247,177,
Bournemouth East,35070.85,0.0,2423.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471534908,232,215,191,303,196,188,330,179,
Bournemouth West,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42316194,223,221,235,208,195,181,218,242,
Bracknell,3000.0,0.0,734.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.461549043,465,439,461,273,464,488,134,525,
Bradford East,11620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25859287,9,14,38,1,58,4,395,11,
Bradford West,44500.0,0.0,9225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197206543,13,17,36,9,42,6,368,21,
Braintree,297500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473025141,390,387,377,239,392,374,182,381,
Brent East,14971.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414843396,103,88,151,309,329,69,6,115,
Brent West,24500.0,0.0,6000.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34579677,245,239,373,407,449,210,4,166,
Brentford and Isleworth,0.0,0.0,0.0,0.0,0.0,418.0,0.0,0.0,0.0,0.0,0.386838916,258,252,353,484,350,113,26,95,
Brentwood and Ongar,7817.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553430019,458,461,479,372,496,257,173,454,
Bridgwater,7500.0,0.0,0.0,1080.0,0.0,1367.0,0.0,0.0,0.0,0.0,0.497731946,187,205,166,109,226,237,342,130,
Bridlington and The Wolds,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539912745,203,198,138,221,256,337,226,240,
Brigg and Immingham,5870.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529215781,334,304,267,262,275,404,381,398,
Brighton Kemptown and Peacehaven,2767.33,0.0,2634.1,0.0,0.0,1660.0,0.0,0.0,0.0,0.0,0.358199566,131,133,124,74,149,254,137,351,
Brighton Pavilion,174786.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.260864501,330,346,366,421,298,280,241,113,
Bristol Central,196265.27,0.0,2201.1,0.0,0.0,5664.94,0.0,0.0,0.0,0.0,0.239064969,314,426,482,489,286,64,98,88,
Bristol East,5000.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.318777372,96,119,123,79,126,38,158,199,
Bristol North East,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362561137,163,167,156,115,232,58,197,350,
Bristol North West,135061.83000000002,0.0,0.0,0.0,0.0,6155.0,0.0,0.0,0.0,0.0,0.39301446,229,250,246,219,227,66,292,338,
Bristol South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32337429,64,97,120,27,81,16,269,274,
Broadland and Fakenham,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493977969,398,422,379,298,381,527,113,267,
Bromley and Biggin Hill,13500.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.485910512,451,440,465,498,497,304,71,318,
Bromsgrove,13000.0,0.0,4342.08,0.0,0.0,3608.9500000000003,0.0,0.0,0.0,0.0,0.535121946,455,446,419,450,386,310,343,456,
Broxbourne,33023.520000000004,0.0,548.39,11751.0,0.0,4006.95,0.0,0.0,0.0,0.0,0.528608595,317,316,345,197,461,253,55,402,
Broxtowe,13321.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.418103357,386,332,291,328,332,347,528,331,
Buckingham and Bletchley,15000.0,0.0,0.0,6855.68,0.0,460.0,0.0,0.0,0.0,0.0,0.470236856,355,341,399,291,384,389,54,451,
Burnley,39000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456090548,31,50,37,52,19,45,526,40,
Burton and Uttoxeter,17000.0,0.0,651.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493091038,263,291,265,185,221,306,364,114,
Bury North,40500.0,0.0,0.0,0.0,0.0,13054.720000000001,0.0,0.0,0.0,0.0,0.520545953,191,177,129,270,168,132,446,216,
Bury South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420852423,168,149,121,265,161,96,433,223,
Bury St Edmunds and Stowmarket,0.0,0.0,6733.04,393.5,0.0,0.0,0.0,0.0,0.0,0.0,0.481145636,405,421,416,305,400,414,94,469,
Calder Valley,23000.0,0.0,0.0,2197.4,0.0,0.0,0.0,0.0,0.0,0.0,0.446919139,262,281,247,408,236,167,469,32,
Camborne and Redruth,29530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424905394,145,148,127,266,176,398,275,17,
Cambridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345043237,359,419,471,454,382,176,165,103,
Cannock Chase,27500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524348631,254,220,195,105,213,318,449,375,
Canterbury,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4510674,363,373,405,338,335,222,139,465,
Carlisle,20000.0,0.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527434421,213,251,174,110,151,355,400,280,
Carshalton and Wallington,28252.0,0.0,1047.83,119.52,0.0,1475.85,0.0,0.0,0.0,0.0,0.458543228,319,268,295,366,367,260,209,208,
Castle Point,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486799707,318,300,279,111,338,324,312,495,
Central Devon,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477833834,335,358,362,400,408,512,188,31,
Central Suffolk and North Ipswich,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473981564,399,414,434,302,414,446,202,259,
Chatham and Aylesford,3575.64,0.0,1825.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452656042,172,186,192,88,246,73,329,217,
Cheadle,33000.0,0.0,0.0,921.22,0.0,0.0,0.0,0.0,0.0,0.0,0.487180024,462,462,408,511,271,249,492,407,
Chelmsford,0.0,0.0,0.0,3131.42,0.0,1932.9,0.0,0.0,0.0,0.0,0.457093555,432,400,403,395,454,321,219,483,
Chelsea and Fulham,22200.0,0.0,2431.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50164409,306,299,384,516,429,172,76,49,
Cheltenham,63450.0,0.0,0.0,0.0,0.0,863.69,0.0,0.0,0.0,0.0,0.449704083,402,371,359,393,309,314,427,390,
Chesham and Amersham,55450.0,0.0,0.0,0.0,0.0,324.91,0.0,0.0,0.0,0.0,0.485347412,530,521,518,519,532,481,260,518,
Chester South and Eddisbury,30505.35,0.0,0.0,1047.5,0.0,1737.0,0.0,0.0,0.0,0.0,0.585937167,414,451,430,483,377,460,110,191,
Chesterfield,15000.0,0.0,0.0,0.0,0.0,1438.24,0.0,0.0,0.0,0.0,0.478657229,185,160,108,196,46,466,458,502,
Chichester,99643.0,0.0,616.0,416.0,0.0,2160.0,0.0,0.0,0.0,0.0,0.518939576,374,364,358,286,321,413,222,307,
Chingford and Woodford Green,15000.0,0.0,8950.0,0.0,0.0,1975.0,0.0,0.0,0.0,0.0,0.462622969,290,272,326,387,401,179,62,158,
Chippenham,19498.0,0.0,2940.1,1322.42,0.0,0.0,0.0,0.0,0.0,0.0,0.469534233,420,396,385,330,398,490,244,437,
Chipping Barnet,45050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420207442,408,340,389,512,516,274,72,276,
Chorley,2995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607609611,304,290,228,339,187,311,486,295,
Christchurch,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541234714,449,393,329,335,441,492,327,512,
Cities of London and Westminster,94469.69,0.0,143.32,0.0,0.0,525.0,0.0,0.0,0.0,0.0,0.382818946,337,349,413,515,521,328,208,10,
City of Durham,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50847727,276,271,236,325,138,281,434,521,
Clacton,0.0,0.0,547585.27,4000.0,0.0,11333.2,0.0,0.0,0.0,0.0,0.504481199,42,58,13,29,34,159,337,278,
Clapham and Brixton Hill,14000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432516097,160,157,289,456,181,60,92,9,
Colchester,20000.0,0.0,631.38,7180.75,0.0,0.0,0.0,0.0,0.0,0.0,0.417677673,283,273,309,277,249,225,108,430,
Colne Valley,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444531611,340,365,336,431,318,212,399,92,
Congleton,3000.0,0.0,8330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551884903,441,430,364,469,320,424,365,436,
Corby and East Northamptonshire,23000.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500613255,247,280,244,99,211,313,161,461,
Coventry East,13000.0,0.0,0.0,0.0,0.0,1708.0,0.0,0.0,0.0,0.0,0.444128812,57,34,72,53,98,152,242,104,
Coventry North West,5000.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.47013263,215,208,221,232,186,243,350,84,
Coventry South,34339.66,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,0.40586403,249,254,331,283,185,325,259,82,
Cramlington and Killingworth,20750.0,0.0,1084.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.481839366,264,245,183,212,163,322,287,530,
Crawley,22000.0,0.0,656.25,1354.23,0.0,0.0,0.0,0.0,0.0,0.0,0.426160195,285,288,340,137,276,246,102,396,
Crewe and Nantwich,10000.0,0.0,0.0,3469.23,0.0,0.0,0.0,0.0,0.0,0.0,0.536550842,267,297,268,169,204,286,411,226,
Croydon East,0.0,0.0,47219.0,2713.23,0.0,0.0,0.0,0.0,0.0,0.0,0.503500196,211,168,227,259,287,213,40,246,
Croydon South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.481447758,422,442,451,503,411,330,46,304,
Croydon West,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48106577,99,93,158,287,218,51,12,66,
Dagenham and Rainham,34321.520000000004,0.0,838.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497244151,143,136,190,162,264,135,27,187,
Darlington,31500.0,0.0,4971.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514535481,137,129,102,116,100,63,521,494,
Dartford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478459404,282,345,365,263,328,70,150,161,
Daventry,0.0,0.0,0.0,0.0,0.0,515.68,0.0,0.0,0.0,0.0,0.506614033,424,458,448,345,412,329,178,366,
Derby North,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406867826,205,207,209,142,134,298,333,238,
Derby South,44400.0,0.0,68671.51000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365733475,50,35,74,7,65,190,271,185,
Derbyshire Dales,0.0,0.0,0.0,12825.48,0.0,0.0,0.0,0.0,0.0,0.0,0.542990832,459,477,459,426,409,529,225,203,
Dewsbury and Batley,14630.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.280531519,51,54,69,17,142,30,340,100,
Didcot and Wantage,65000.0,0.0,4450.0,0.0,0.0,442.54,0.0,0.0,0.0,0.0,0.466606413,501,494,494,383,505,491,302,431,
Doncaster Central,7000.0,0.0,0.0,0.0,0.0,484.0,0.0,0.0,0.0,0.0,0.50742369,93,124,101,36,89,40,407,329,
Doncaster East and the Isle of Axholme,20000.0,0.0,7703.9400000000005,0.0,0.0,960.0,0.0,0.0,0.0,0.0,0.543307003,222,227,177,141,154,165,438,488,
Doncaster North,354000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49519191,71,102,73,14,83,42,428,418,
Dorking and Horley,94405.49,0.0,752.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506987007,474,505,491,428,467,383,121,328,
Dover and Deal,32050.0,0.0,3458.38,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.491229432,202,188,146,151,250,178,254,379,
Droitwich and Evesham,5000.0,0.0,0.0,0.0,0.0,6160.0,0.0,0.0,0.0,0.0,0.573688029,338,380,347,278,406,352,96,236,
Dudley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483937413,83,52,47,45,117,230,510,188,
Dulwich and West Norwood,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428165937,178,151,232,471,266,85,73,34,
Dunstable and Leighton Buzzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485385912,350,336,371,213,385,195,296,420,
Ealing Central and Acton,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.408552701,220,202,285,485,336,170,23,77,
Ealing North,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428582611,197,156,239,390,362,201,13,139,
Ealing Southall,6225.0,0.0,257.17,852.9,0.0,425.0,0.0,0.0,0.0,0.0,0.302533186,179,161,217,361,306,161,22,107,
Earley and Woodley,92000.0,0.0,29780.800000000003,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.39841459,460,434,474,346,506,462,151,507,
Easington,56454.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.555742772,37,43,7,66,17,33,513,531,
East Grinstead and Uckfield,6000.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.487333961,510,520,520,452,517,459,193,293,
East Ham,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268777569,113,117,260,271,312,142,2,73,
East Hampshire,17500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515860262,493,514,497,495,500,411,169,261,
East Surrey,44500.0,0.0,2000.0,0.0,0.0,7182.0,0.0,0.0,0.0,0.0,0.507891048,425,467,463,402,426,217,159,311,
East Thanet,35000.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.450625274,55,53,35,54,137,28,270,286,
East Wiltshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518370252,450,492,504,290,422,448,147,332,
East Worthing and Shoreham,29000.0,0.0,1668.51,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.430633488,333,329,300,224,297,386,419,200,
Eastbourne,75041.62,0.0,0.0,0.0,0.0,1425.6,0.0,0.0,0.0,0.0,0.459001239,219,182,142,183,242,271,234,405,
Eastleigh,7000.0,0.0,0.0,695.71,0.0,0.0,0.0,0.0,0.0,0.0,0.456444131,494,480,478,376,469,375,462,400,
Edmonton and Winchmore Hill,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463882405,114,77,164,193,374,150,9,122,
Ellesmere Port and Bromborough,3000.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.540317834,166,173,118,165,104,296,502,253,
Eltham and Chislehurst,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478563666,228,201,218,324,333,117,63,228,
Ely and East Cambridgeshire,21500.0,0.0,0.0,650.18,0.0,1552.86,0.0,0.0,0.0,0.0,0.478984346,467,460,480,377,494,470,101,387,
Enfield North,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466963431,126,80,163,215,371,194,10,142,
Epping Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482892031,381,353,398,281,460,134,282,349,
Epsom and Ewell,23425.0,0.0,0.0,0.0,0.0,783.9,0.0,0.0,0.0,0.0,0.490218621,515,510,503,496,509,334,305,412,
Erewash,16000.0,0.0,798.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408132388,250,214,186,112,228,364,531,244,
Erith and Thamesmead,2000.0,0.0,0.0,0.0,0.0,1860.0,0.0,0.0,0.0,0.0,0.50153739,158,106,188,304,273,141,29,245,
Esher and Walton,83496.0,0.0,0.0,0.0,0.0,1347.88,0.0,0.0,0.0,0.0,0.505902127,522,502,517,508,529,326,380,427,
Exeter,2000.0,0.0,0.0,0.0,0.0,889.95,0.0,0.0,0.0,0.0,0.384970894,325,344,338,297,261,349,378,172,
Exmouth and Exeter East,24000.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.473146471,417,395,351,340,423,496,417,256,
Fareham and Waterlooville,17200.0,0.0,101700.95999999999,0.0,0.0,2834.0,0.0,0.0,0.0,0.0,0.469248753,426,425,402,336,421,353,359,315,
Farnham and Bordon,11500.0,0.0,2334.03,0.0,0.0,760.0,0.0,0.0,0.0,0.0,0.504506123,517,499,490,466,468,436,332,486,
Faversham and Mid Kent,2000.0,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,0.48938146,273,303,297,194,334,224,103,255,
Feltham and Heston,31338.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371309696,190,164,278,268,294,154,17,143,
Filton and Bradley Stoke,58732.270000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414141979,498,478,486,391,485,368,336,514,
Finchley and Golders Green,59710.0,0.0,25207.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308260721,379,321,394,525,515,233,65,151,
Folkestone and Hythe,8280.0,0.0,25395.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472144786,150,143,107,132,190,239,187,277,
